iter	Passed	Remaining
707	112284	78028
708	112538	77935
709	112816	77859
710	113050	77752
711	113263	77629
712	113534	77547
713	113673	77374
714	113836	77217
715	114050	77095
716	114198	76928
717	114382	76786
718	114532	76620
719	114675	76450
720	114746	76232
721	114912	76077
722	115062	75912
723	115221	75753
724	115424	75622
725	115561	75449
726	115729	75295
727	115847	75109
728	115956	74918
729	116127	74767
730	116349	74648
731	116476	74468
732	116612	74294
733	116806	74158
734	117055	74055
735	117248	73917
736	117423	73768
737	117582	73608
738	117695	73420
739	117891	73284
740	118319	73290
741	118493	73140
742	118627	72964
743	118783	72802
744	118924	72631
745	119270	72585
746	119444	72434
747	119620	72283
748	119779	72123
749	119992	71995
750	120216	71873
751	120532	71806
752	120816	71719
753	121008	71577
754	121216	71445
755	121536	71378
756	121950	71366
757	122195	71253
758	122317	71069
759	122558	70954
760	122743	70807
761	122991	70696
762	123205	70564
763	123396	70419
764	123550	70254
765	123778	70130
766	123977	69990
767	124106	69809
768	124284	69657
769	124437	69490
770	124625	69344
771	124837	69210
772	125058	69081
773	125253	68937
774	125383	68758
775	125519	68582
776	125749	68458
777	125920	68301
778	126058	68126
779	126182	67944
780	126314	67766
781	126434	67582
782	126618	67432
783	126749	67255
784	126866	67069
785	127059	66924
786	127260	66783
787	127396	66608
788	127519	66426
789	127644	66245
790	127773	66067
791	127996	65937
792	128098	65745
793	128245	65576
794	128401	65412
795	128536	65237
796	128751	65102
797	128913	64941
798	129100	64792
799	129248	64624
800	129439	64477
801	129598	64314
802	129780	64163
803	129947	64003
804	130264	63918
805	130477	63781
806	130654	63627
807	131070	63588
808	131322	63469
809	131637	63380
810	132099	63362
811	132267	63201
812	132447	63046
813	132818	62982
814	132983	62820
815	133175	62670
816	133305	62492
817	133445	62318
818	133619	62160
819	133744	61979
820	133908	61816
821	134090	61661
822	134319	61528
823	134504	61375
824	134707	61230
825	134926	61092
826	135093	60930
827	135355	60811
828	135656	60709
829	135973	60614
830	136443	60586
831	136643	60438
832	136778	60261
833	136870	60065
834	137036	59902
835	137154	59717
836	137267	59531
837	137420	59362
838	137577	59195
839	137720	59023
840	137878	58856
841	138014	58680
842	138197	58524
843	138402	58378
844	138580	58220
845	138669	58025
846	138943	57906
847	139091	57736
848	139311	57595
849	139445	57418
850	139615	57257
851	139849	57121
852	140092	56989
853	140574	56954
854	140837	56829
855	141158	56727
856	141415	56599
857	141643	56459
858	141864	56316
859	142166	56205
860	143139	56357
861	143452	56249
862	143729	56126
863	144014	56005
864	144419	55931
865	144736	55822
866	145075	55720
867	145427	55624
868	145951	55592
869	146185	55449
870	146368	55287
871	146964	55280
872	147204	55138
873	147904	55167
874	148481	55150
875	148725	55008
876	149199	54950
877	149635	54877
878	150085	54809
879	150479	54719
880	150867	54627
881	151603	54659
882	152191	54637
883	152599	54549
884	153106	54495
885	153443	54380
886	153732	54248
887	154189	54174
888	154573	54074
889	155096	54022
890	155483	53921
891	155915	53836
892	156175	53690
893	156549	53584
894	156850	53451
895	157277	53362
896	157561	53223
897	157888	53098
898	158257	52987
899	158488	52829
900	158819	52704
901	159069	52552
902	159486	52455
903	159669	52281
904	160033	52165
905	160507	52085
906	160840	51958
907	161396	51902
908	161734	51776
909	162179	51683
910	162581	51576
911	163302	51569
912	163592	51425
913	163942	51299
914	164295	51174
915	164583	51028
916	164910	50893
917	165194	50745
918	165542	50617
919	165901	50491
920	166218	50352
921	166554	50219
922	167002	50118
923	167375	49995
924	167719	49862
925	168075	49732
926	168421	49599
927	168653	49432
928	168929	49278
929	169204	49123
930	169506	48976
931	169816	48831
932	170366	48754
933	170832	48652
934	171010	48468
935	171249	48301
936	171633	48174
937	172016	48047
938	172505	47948
939	172757	47783
940	172986	47612
941	173235	47446
942	173413	47261
943	173773	47125
944	173963	46942
945	174232	46781
946	174406	46594
947	174642	46424
948	174772	46225
949	175567	46201
950	175893	46054
951	176211	45903
952	176445	45731
953	176808	45592
954	177281	45480
955	177675	45348
956	178157	45237
957	178325	45046
958	178630	44890
959	178975	44743
960	179444	44627
961	180009	44534
962	180520	44427
963	180695	44236
964	181137	44111
965	181439	43951
966	181725	43787
967	182091	43641
968	182440	43492
969	182771	43337
970	183147	43193
971	183702	43090
972	184280	42992
973	184398	42786
974	184551	42588
975	185374	42544
976	186206	42501
977	186823	42407
978	187511	42328
979	187924	42187
980	188189	42011
981	189120	41983
982	189358	41801
983	189688	41638
984	190083	41490
985	190435	41331
986	190725	41159
987	190857	40953
988	191030	40755
989	191356	40590
990	191755	40440
991	192023	40262
992	192336	40094
993	192745	39945
994	193020	39768
995	193343	39600
996	193836	39467
997	194162	39299
998	194398	39113
999	194678	38935
1000	195054	38777
1001	195330	38598
1002	195657	38429
1003	195942	38251
1004	196190	38066
1005	196495	37892
1006	196750	37708
1007	197236	37568
1008	197469	37380
1009	197892	37227
1010	198173	37047
1011	198491	36874
1012	198771	36693
1013	198980	36499
1014	199307	36326
1015	199662	36159
1016	199896	35969
1017	200293	35808
1018	200544	35621
1019	201491	35557
1020	201734	35367
1021	202038	35188
1022	202273	34997
1023	202557	34814
1024	202725	34611
1025	202888	34408
1026	203037	34202
1027	203219	34001
1028	203369	33796
1029	203502	33587
1030	203641	33380
1031	203765	33171
1032	203855	32956
1033	203970	32745
1034	204117	32540
1035	204227	32329
1036	204413	32130
1037	204614	31934
1038	204794	31734
1039	204987	31536
1040	205268	31352
1041	205435	31150
1042	205632	30953
1043	205839	30757
1044	206140	30575
1045	206314	30375
1046	206527	30180
1047	206748	29986
1048	206899	29782
1049	207392	29627
1050	207562	29426
1051	207795	29233
1052	207979	29034
1053	208111	28827
1054	208241	28620
1055	208456	28425
1056	208760	28242
1057	209085	28062
1058	209292	27866
1059	209425	27659
1060	209621	27462
1061	209778	27259
1062	209904	27052
1063	210069	26851
1064	210203	26645
1065	210339	26440
1066	210529	26242
1067	210644	26034
1068	210913	25846
1069	211149	25653
1070	211324	25453
1071	211451	25247
1072	211729	25060
1073	211866	24855
1074	212069	24659
1075	212318	24467
1076	212615	24282
1077	212788	24081
1078	212928	23878
1079	213163	23684
1080	213310	23481
1081	213530	23287
1082	213712	23088
1083	213847	22884
1084	214058	22688
1085	214343	22500
1086	214503	22298
